Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5157463016,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020573,$0.01,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5157463351,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020573,$0.01,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5157463352,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020573,$0.01,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5157463353,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020573,$0.01,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5157463354,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020573,$0.01,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5157463355,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020573,$0.01,,,,,,,,,,,,
5157463356,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020573,$0.01,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5157463041,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020574,$0.01,,,,,,,,,,,,SP,Cristopher Sanchez (43205901),Cristopher Sanchez,43205901,P,11000,SD@PHI 06/03/2026 06:40PM ET,PHI,26.46
5157469801,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020574,$0.01,,,,,,,,,,,,SP,Garrett Crochet (43206000),Garrett Crochet,43206000,P,10300,BAL@BOS 06/03/2026 06:45PM ET,BOS,13.78
5157469802,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020574,$0.01,,,,,,,,,,,,SP,Zack Wheeler (43206001),Zack Wheeler,43206001,P,10000,SD@PHI 06/03/2026 06:40PM ET,PHI,21.35
5157469803,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020574,$0.01,,,,,,,,,,,,SP,Payton Tolle (43205902),Payton Tolle,43205902,P,9000,BAL@BOS 06/03/2026 06:45PM ET,BOS,20.23
5157469804,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020574,$0.01,,,,,,,,,,,,SP,Nick Pivetta (43206002),Nick Pivetta,43206002,P,9000,SD@PHI 06/03/2026 06:40PM ET,SD,15.3
5157469805,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020574,$0.01,,,,,,,,,,,,RP,Michael King (43206003),Michael King,43206003,P,9000,SD@PHI 06/03/2026 06:40PM ET,SD,16.82
5157469806,MLB Satellite to $2 MLB Pocket Cup MEGA Qualifier (Turbo),191020574,$0.01,,,,,,,,,,,,SP,Jesus Luzardo (43206004),Jesus Luzardo,43206004,P,9000,SD@PHI 06/03/2026 06:40PM ET,PHI,16.80
5157469542,MLB $30 Quarter Jukebox [Just $0.25!] (Turbo),191047506,$0.25,,,,,,,,,,,,SP,Sonny Gray (43206005),Sonny Gray,43206005,P,8800,BAL@BOS 06/03/2026 06:45PM ET,BOS,14.67
5157469873,MLB $30 Quarter Jukebox [Just $0.25!] (Turbo),191047506,$0.25,,,,,,,,,,,,SP,Ranger Suarez (43206006),Ranger Suarez,43206006,P,8800,BAL@BOS 06/03/2026 06:45PM ET,BOS,15.27
5157469874,MLB $30 Quarter Jukebox [Just $0.25!] (Turbo),191047506,$0.25,,,,,,,,,,,,SP,Connelly Early (43206007),Connelly Early,43206007,P,8800,BAL@BOS 06/03/2026 06:45PM ET,BOS,16.45
5157469875,MLB $30 Quarter Jukebox [Just $0.25!] (Turbo),191047506,$0.25,,,,,,,,,,,,SP,Shane Baz (43206008),Shane Baz,43206008,P,8000,BAL@BOS 06/03/2026 06:45PM ET,BAL,14.42
,,,,,,,,,,,,,,,SP,Dean Kremer (43206009),Dean Kremer,43206009,P,8000,BAL@BOS 06/03/2026 06:45PM ET,BAL,20.38
,,,,,,,,,,,,,,,SP,Zach Eflin (43206010),Zach Eflin,43206010,P,8000,BAL@BOS 06/03/2026 06:45PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Joe Musgrove (43206011),Joe Musgrove,43206011,P,8000,SD@PHI 06/03/2026 06:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Aaron Nola (43206012),Aaron Nola,43206012,P,8000,SD@PHI 06/03/2026 06:40PM ET,PHI,12.60
,,,,,,,,,,,,,,,SP,Randy Vasquez (43206013),Randy Vasquez,43206013,P,8000,SD@PHI 06/03/2026 06:40PM ET,SD,14.1
,,,,,,,,,,,,,,,SP,Kyle Bradish (43206015),Kyle Bradish,43206015,P,7000,BAL@BOS 06/03/2026 06:45PM ET,BAL,14.83
,,,,,,,,,,,,,,,SP,Brandon Young (43206016),Brandon Young,43206016,P,7000,BAL@BOS 06/03/2026 06:45PM ET,BAL,12.52
,,,,,,,,,,,,,,,SP,Lucas Giolito (43206014),Lucas Giolito,43206014,P,7000,SD@PHI 06/03/2026 06:40PM ET,SD,6.9
,,,,,,,,,,,,,,,SP,Alex McFarlane (43206017),Alex McFarlane,43206017,P,7000,SD@PHI 06/03/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Seth Johnson (43206018),Seth Johnson,43206018,P,7000,SD@PHI 06/03/2026 06:40PM ET,PHI,1.62
,,,,,,,,,,,,,,,RP,Jonathan Bowlan (43206019),Jonathan Bowlan,43206019,P,7000,SD@PHI 06/03/2026 06:40PM ET,PHI,2.65
,,,,,,,,,,,,,,,SP,Jackson Rutledge (43206020),Jackson Rutledge,43206020,P,7000,SD@PHI 06/03/2026 06:40PM ET,PHI,-11.8
,,,,,,,,,,,,,,,SP,Andrew Painter (43206021),Andrew Painter,43206021,P,7000,SD@PHI 06/03/2026 06:40PM ET,PHI,8.38
,,,,,,,,,,,,,,,SP,Tanner Houck (43206022),Tanner Houck,43206022,P,6800,BAL@BOS 06/03/2026 06:45PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Kutter Crawford (43206023),Kutter Crawford,43206023,P,6800,BAL@BOS 06/03/2026 06:45PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Jake Bennett (43206024),Jake Bennett,43206024,P,6800,BAL@BOS 06/03/2026 06:45PM ET,BOS,8.12
,,,,,,,,,,,,,,,SP,Tyler Wells (43206025),Tyler Wells,43206025,P,6000,BAL@BOS 06/03/2026 06:45PM ET,BAL,3.17
,,,,,,,,,,,,,,,SP,Trevor Rogers (43206026),Trevor Rogers,43206026,P,6000,BAL@BOS 06/03/2026 06:45PM ET,BAL,7.33
,,,,,,,,,,,,,,,SP,Trey Gibson (43206027),Trey Gibson,43206027,P,6000,BAL@BOS 06/03/2026 06:45PM ET,BAL,6.58
,,,,,,,,,,,,,,,SP,Walker Buehler (43205903),Walker Buehler,43205903,P,6000,SD@PHI 06/03/2026 06:40PM ET,SD,10.51
,,,,,,,,,,,,,,,OF,Kyle Schwarber (43205905),Kyle Schwarber,43205905,OF,6000,SD@PHI 06/03/2026 06:40PM ET,PHI,9.82
,,,,,,,,,,,,,,,RP,Jhony Brito (43206028),Jhony Brito,43206028,P,6000,SD@PHI 06/03/2026 06:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Kyle Hart (43206029),Kyle Hart,43206029,P,6000,SD@PHI 06/03/2026 06:40PM ET,SD,2.12
,,,,,,,,,,,,,,,SP,Matt Waldron (43206030),Matt Waldron,43206030,P,6000,SD@PHI 06/03/2026 06:40PM ET,SD,5.22
,,,,,,,,,,,,,,,SP,German Marquez (43206031),German Marquez,43206031,P,6000,SD@PHI 06/03/2026 06:40PM ET,SD,8.72
,,,,,,,,,,,,,,,SP,JP Sears (43206032),JP Sears,43206032,P,6000,SD@PHI 06/03/2026 06:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Griffin Canning (43206033),Griffin Canning,43206033,P,6000,SD@PHI 06/03/2026 06:40PM ET,SD,7.74
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43206034),Patrick Sandoval,43206034,P,5800,BAL@BOS 06/03/2026 06:45PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Brayan Bello (43206035),Brayan Bello,43206035,P,5800,BAL@BOS 06/03/2026 06:45PM ET,BOS,8.07
,,,,,,,,,,,,,,,SP,Johan Oviedo (43206036),Johan Oviedo,43206036,P,5800,BAL@BOS 06/03/2026 06:45PM ET,BOS,1.45
,,,,,,,,,,,,,,,SS,Gunnar Henderson (43205906),Gunnar Henderson,43205906,SS,5700,BAL@BOS 06/03/2026 06:45PM ET,BAL,8.03
,,,,,,,,,,,,,,,1B,Pete Alonso (43205907),Pete Alonso,43205907,1B,5500,BAL@BOS 06/03/2026 06:45PM ET,BAL,8
,,,,,,,,,,,,,,,SP,Chris Bassitt (43205904),Chris Bassitt,43205904,P,5000,BAL@BOS 06/03/2026 06:45PM ET,BAL,8.44
