Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5177626202,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433708,43433712,43433872,43433847,43433891,43433851,43433769,43433734,43433884,43434109,,1. Column A lists all of your contest entries for this draftgroup
5177627200,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433711,43433712,43434065,43433742,43433891,43433860,43433755,43434109,43433833,43433836,,2. Your current lineup is listed next to each entry (blank for reservations)
5177627201,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433711,43433709,43434065,43433790,43433779,43433851,43433755,43433997,43433852,43433884,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5177627202,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433708,43433711,43433872,43433847,43433779,43433860,43433755,43433852,43433813,43434109,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5177627203,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433708,43433712,43434065,43433847,43433936,43433759,43433755,43433905,43433884,43433833,,5. For faster processing only include entries you are changing in the file you upload
5177619691,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433708,43433712,43433872,43433847,43433891,43433851,43433769,43433734,43433884,43434109,,
5177619692,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433708,43433709,43433858,43433847,43433779,43433860,43433870,43433833,43433836,43433824,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5177619693,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433708,43433712,43434065,43433847,43433936,43433759,43433755,43433905,43433884,43433833,,SP,Jacob Misiorowski (43434243),Jacob Misiorowski,43434243,P,13000,CHC@MIL 06/28/2026 02:10PM ET,MIL,29.62
5177619694,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433711,43433709,43434065,43433790,43433779,43433851,43433755,43433997,43433852,43433884,,SP,Cristopher Sanchez (43434244),Cristopher Sanchez,43434244,P,10600,PHI@NYM 06/28/2026 01:40PM ET,PHI,24.48
5177619695,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433708,43433711,43433872,43433790,43433936,43433860,43433870,43433905,43433833,43433734,,SP,Zack Wheeler (43434245),Zack Wheeler,43434245,P,10600,PHI@NYM 06/28/2026 01:40PM ET,PHI,22.94
5177619696,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433712,43433709,43433872,43433802,43433779,43433860,43433769,43434109,43433797,43433833,,SP,Hunter Brown (43433708),Hunter Brown,43433708,P,10500,HOU@DET 06/28/2026 01:40PM ET,HOU,20.62
5177619697,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433711,43433712,43434065,43433742,43433891,43433860,43433755,43434109,43433833,43433836,,RP,Kyle Harrison (43434246),Kyle Harrison,43434246,P,10400,CHC@MIL 06/28/2026 02:10PM ET,MIL,20.19
5177626827,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433708,43433711,43433872,43433847,43433779,43433860,43433755,43433852,43433813,43434109,,SP,Chase Burns (43434247),Chase Burns,43434247,P,10100,CIN@PIT 06/28/2026 01:35PM ET,CIN,22.43
5177619244,MLB Satellite to $5M FBWC $13 Qualifier,191756151,$0.10,43433711,43433712,43434065,43433742,43433891,43433860,43433755,43434109,43433833,43433836,,SP,Drew Rasmussen (43433709),Drew Rasmussen,43433709,P,10000,ARI@TB 06/28/2026 01:40PM ET,TB,19.95
5177627150,MLB Satellite to $5M FBWC $13 Qualifier,191756151,$0.10,43433708,43433712,43433872,43433847,43433891,43433851,43433769,43433734,43433884,43434109,,SP,Logan Henderson (43434248),Logan Henderson,43434248,P,10000,CHC@MIL 06/28/2026 02:10PM ET,MIL,18.27
5177627151,MLB Satellite to $5M FBWC $13 Qualifier,191756151,$0.10,43433711,43433709,43434065,43433790,43433779,43433851,43433755,43433997,43433852,43433884,,SP,Dylan Cease (43434249),Dylan Cease,43434249,P,9800,TEX@TOR 06/28/2026 01:37PM ET,TOR,22.66
5177627152,MLB Satellite to $5M FBWC $13 Qualifier,191756151,$0.10,43433708,43433711,43433872,43433847,43433779,43433860,43433755,43433852,43433813,43434109,,SP,Parker Messick (43434250),Parker Messick,43434250,P,9800,SEA@CLE 06/28/2026 01:40PM ET,CLE,20.39
5177619869,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433712,43433709,43434065,43433759,43433779,43433903,43433755,43433813,43433963,43434109,,SP,Kyle Bradish (43433710),Kyle Bradish,43433710,P,9700,WSH@BAL 06/28/2026 01:35PM ET,BAL,15.85
