contest_id,field_size,archetype,player,team,dk_roster_position,drafted_positions,salary,avg_ppg,fpts,value_per_1k,pct_drafted
191787184,222,UNKNOWN_pending_contest_page,Braxton Ashcraft,PIT,P,P,8700,20.43,19.9,2.29,65.77
191787184,222,UNKNOWN_pending_contest_page,Miguel Vargas,CWS,1B/3B,3B/1B,4600,9.41,12.0,2.61,46.4
191787184,222,UNKNOWN_pending_contest_page,Sean Burke,CWS,P,P,7500,15.71,19.8,2.64,43.69
191787184,222,UNKNOWN_pending_contest_page,Aaron Nola,PHI,P,P,7000,11.67,-0.25,-0.04,41.89
191787184,222,UNKNOWN_pending_contest_page,Brandon Lowe,PIT,2B,2B,5800,8.86,2.0,0.34,41.89
191787184,222,UNKNOWN_pending_contest_page,Colson Montgomery,CWS,3B/SS,3B/SS,4500,7.73,9.0,2.0,40.99
191787184,222,UNKNOWN_pending_contest_page,Shane Baz,BAL,P,P,7700,13.89,18.95,2.46,38.74
191787184,222,UNKNOWN_pending_contest_page,Sam Antonacci,CWS,OF,OF,4100,7.86,11.0,2.68,38.29
191787184,222,UNKNOWN_pending_contest_page,Konnor Griffin,PIT,SS,SS,3500,8.28,15.0,4.29,38.29
191787184,222,UNKNOWN_pending_contest_page,Kyle Teel,CWS,C,C,3400,8.2,5.0,1.47,36.49
191787184,222,UNKNOWN_pending_contest_page,Pete Alonso,BAL,1B,1B,5600,8.55,0.0,0.0,35.59
191787184,222,UNKNOWN_pending_contest_page,Taylor Ward,BAL,OF,OF,4400,7.29,0.0,0.0,34.23
191787184,222,UNKNOWN_pending_contest_page,Kyle Schwarber,PHI,OF,OF,6500,10,4.0,0.62,30.63
191787184,222,UNKNOWN_pending_contest_page,Ryan O'Hearn,PIT,1B/OF,OF/1B,4700,8.14,12.0,2.55,30.18
191787184,222,UNKNOWN_pending_contest_page,Gunnar Henderson,BAL,SS,SS,5100,7.73,12.0,2.35,27.93
191787184,222,UNKNOWN_pending_contest_page,Bryan Reynolds,PIT,OF,OF,5300,8.82,11.0,2.08,25.23
191787184,222,UNKNOWN_pending_contest_page,Brandon Marsh,PHI,OF,OF,5000,8.24,28.0,5.6,24.77
191787184,222,UNKNOWN_pending_contest_page,Bryson Stott,PHI,2B,2B,4000,7.10,5.0,1.25,24.32
191787184,222,UNKNOWN_pending_contest_page,Adley Rutschman,BAL,C,C,4000,7.84,4.0,1.0,23.87
191787184,222,UNKNOWN_pending_contest_page,Alec Bohm,PHI,3B,3B,3500,5.94,0.0,0.0,22.97
191787184,222,UNKNOWN_pending_contest_page,Samuel Basallo,BAL,C,C,3500,6.42,3.0,0.86,18.47
191787184,222,UNKNOWN_pending_contest_page,Bryce Harper,PHI,1B,1B,6000,8.94,18.0,3.0,17.57
191787184,222,UNKNOWN_pending_contest_page,Blaze Alexander,BAL,3B,3B,2900,5.37,4.0,1.38,17.57
191787184,222,UNKNOWN_pending_contest_page,Dylan Beavers,BAL,OF,OF,2700,6,0.0,0.0,16.67
191787184,222,UNKNOWN_pending_contest_page,Randal Grichuk,CWS,OF,OF,3300,5.04,5.0,1.52,16.22
191787184,222,UNKNOWN_pending_contest_page,Tyler Callihan,PIT,OF,OF,2600,6.46,2.0,0.77,14.86
191787184,222,UNKNOWN_pending_contest_page,Jackson Holliday,BAL,2B,2B,3200,6,3.0,0.94,14.41
191787184,222,UNKNOWN_pending_contest_page,Chase Meidroth,CWS,2B,2B,3800,6.68,13.0,3.42,14.41
191787184,222,UNKNOWN_pending_contest_page,Esmerlyn Valdez,PIT,OF,OF,2700,7.73,27.0,10.0,14.41
191787184,222,UNKNOWN_pending_contest_page,Braden Montgomery,CWS,OF,OF,2900,6.76,7.0,2.41,12.16
191787184,222,UNKNOWN_pending_contest_page,Colton Cowser,BAL,OF,OF,2800,4.82,9.0,3.21,10.81
191787184,222,UNKNOWN_pending_contest_page,Jake Mangum,PIT,OF,OF,3700,5.64,7.0,1.89,9.46
191787184,222,UNKNOWN_pending_contest_page,Tristan Peters,CWS,OF,OF,2500,5.51,5.0,2.0,8.56
191787184,222,UNKNOWN_pending_contest_page,Endy Rodriguez,PIT,C,C,3900,6.27,27.0,6.92,7.66
191787184,222,UNKNOWN_pending_contest_page,J.T. Realmuto,PHI,C,C,3600,5.55,7.0,1.94,6.76
191787184,222,UNKNOWN_pending_contest_page,Trea Turner,PHI,SS,SS,5500,7.23,19.0,3.45,6.76
191787184,222,UNKNOWN_pending_contest_page,Justin Crawford,PHI,OF,OF,3000,4.82,13.0,4.33,5.86
191787184,222,UNKNOWN_pending_contest_page,Jacob Gonzalez,CWS,1B,1B,2200,5.18,18.0,8.18,4.95
191787184,222,UNKNOWN_pending_contest_page,Nick Gonzales,PIT,3B,3B,4200,6.87,0.0,0.0,4.95
191787184,222,UNKNOWN_pending_contest_page,Jared Triolo,PIT,SS,SS,2400,4.49,14.0,5.83,4.5
191787184,222,UNKNOWN_pending_contest_page,Marcell Ozuna,PIT,OF,OF,3200,5.66,0.0,0.0,2.25
191787184,222,UNKNOWN_pending_contest_page,Gabriel Rincones Jr.,PHI,OF,OF,2700,3.2,0.0,0.0,2.25
191787184,222,UNKNOWN_pending_contest_page,Andrew Benintendi,CWS,OF,OF,3100,6.11,0.0,0.0,1.8
191787184,222,UNKNOWN_pending_contest_page,Rafael Flores Jr.,PIT,C/1B,C,2000,13.5,0.0,0.0,0.9
191787184,222,UNKNOWN_pending_contest_page,Drew Romo,CWS,C,C,2500,4.81,0.0,0.0,0.45
