Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Tarik Skubal (43658760),Tarik Skubal,43658760,P,11100,DET@CHC 07/22/2026 08:10PM ET,DET,21.81
SP,Jacob deGrom (43658647),Jacob deGrom,43658647,P,9800,CWS@TEX 07/22/2026 08:05PM ET,TEX,19.28
SP,Nathan Eovaldi (43658637),Nathan Eovaldi,43658637,P,9300,CWS@TEX 07/22/2026 08:05PM ET,TEX,18.13
SP,Casey Mize (43658780),Casey Mize,43658780,P,9200,DET@CHC 07/22/2026 08:10PM ET,DET,17.41
SP,Troy Melton (43658866),Troy Melton,43658866,P,9200,DET@CHC 07/22/2026 08:10PM ET,DET,21.31
SP,Peter Lambert (43658703),Peter Lambert,43658703,P,9000,MIA@HOU 07/22/2026 08:10PM ET,HOU,18.35
SP,Hunter Brown (43658806),Hunter Brown,43658806,P,9000,MIA@HOU 07/22/2026 08:10PM ET,HOU,13.35
SP,Sandy Alcantara (43658687),Sandy Alcantara,43658687,P,8500,MIA@HOU 07/22/2026 08:10PM ET,MIA,16.26
SP,Max Meyer (43658762),Max Meyer,43658762,P,8500,MIA@HOU 07/22/2026 08:10PM ET,MIA,19.10
SP,Eury Perez (43658848),Eury Perez,43658848,P,8500,MIA@HOU 07/22/2026 08:10PM ET,MIA,17.46
SP,Justin Steele (43658691),Justin Steele,43658691,P,8400,DET@CHC 07/22/2026 08:10PM ET,CHC,0
RP,Ben Brown (43658761),Ben Brown,43658761,P,8400,DET@CHC 07/22/2026 08:10PM ET,CHC,11.57
SP,MacKenzie Gore (43658751),MacKenzie Gore,43658751,P,8300,CWS@TEX 07/22/2026 08:05PM ET,TEX,14.8
RP,Drew Anderson (43658667),Drew Anderson,43658667,P,8200,DET@CHC 07/22/2026 08:10PM ET,DET,5.17
SP,Jack Flaherty (43658689),Jack Flaherty,43658689,P,8200,DET@CHC 07/22/2026 08:10PM ET,DET,12.89
RP,Framber Valdez (43658699),Framber Valdez,43658699,P,8200,DET@CHC 07/22/2026 08:10PM ET,DET,11.72
SP,Keider Montero (43658749),Keider Montero,43658749,P,8200,DET@CHC 07/22/2026 08:10PM ET,DET,12.28
SP,Spencer Arrighetti (43658872),Spencer Arrighetti,43658872,P,8000,MIA@HOU 07/22/2026 08:10PM ET,HOU,14.88
SP,Davis Martin (43658720),Davis Martin,43658720,P,7800,CWS@TEX 07/22/2026 08:05PM ET,CWS,16.16
SP,Sean Burke (43658868),Sean Burke,43658868,P,7800,CWS@TEX 07/22/2026 08:05PM ET,CWS,18.02
SP,Matthew Boyd (43658660),Matthew Boyd,43658660,P,7400,DET@CHC 07/22/2026 08:10PM ET,CHC,15.48
SP,Shota Imanaga (43658715),Shota Imanaga,43658715,P,7400,DET@CHC 07/22/2026 08:10PM ET,CHC,16.01
RP,Jacob Latz (43658692),Jacob Latz,43658692,P,7300,CWS@TEX 07/22/2026 08:05PM ET,TEX,4.88
SP,Jack Leiter (43658816),Jack Leiter,43658816,P,7300,CWS@TEX 07/22/2026 08:05PM ET,TEX,12.71
SP,Reese Olson (43658792),Reese Olson,43658792,P,7200,DET@CHC 07/22/2026 08:10PM ET,DET,0
SP,Jackson Jobe (43658857),Jackson Jobe,43658857,P,7200,DET@CHC 07/22/2026 08:10PM ET,DET,0
SP,Yilber Diaz (43658891),Yilber Diaz,43658891,P,7200,DET@CHC 07/22/2026 08:10PM ET,DET,-17.3
SP,Cristian Javier (43658704),Cristian Javier,43658704,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,1.14
RP,Hayden Wesneski (43658733),Hayden Wesneski,43658733,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,0
SP,Ronel Blanco (43658738),Ronel Blanco,43658738,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,15.5
SP,Tatsuya Imai (43658744),Tatsuya Imai,43658744,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,12.22
RP,Jason Alexander (43658765),Jason Alexander,43658765,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,4.31
SP,Mike Burrows (43658789),Mike Burrows,43658789,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,9.02
RP,Kai-Wei Teng (43658802),Kai-Wei Teng,43658802,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,7.35
SP,Brandon Walter (43658819),Brandon Walter,43658819,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,0
RP,AJ Blubaugh (43658907),AJ Blubaugh,43658907,P,7000,MIA@HOU 07/22/2026 08:10PM ET,HOU,4.91
SP,Anthony Kay (43658680),Anthony Kay,43658680,P,6800,CWS@TEX 07/22/2026 08:05PM ET,CWS,10.42
SP,Jonathan Cannon (43658870),Jonathan Cannon,43658870,P,6800,CWS@TEX 07/22/2026 08:05PM ET,CWS,-3.8
