Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Tarik Skubal (43667786),Tarik Skubal,43667786,P,11200,KC@DET 07/23/2026 06:40PM ET,DET,21.81
SP,Troy Melton (43667689),Troy Melton,43667689,P,9200,KC@DET 07/23/2026 06:40PM ET,DET,21.31
SP,Casey Mize (43667787),Casey Mize,43667787,P,9200,KC@DET 07/23/2026 06:40PM ET,DET,17.41
SP,Corbin Burnes (43667788),Corbin Burnes,43667788,P,8800,ARI@STL 07/23/2026 05:15PM ET,ARI,0
SP,Michael Soroka (43667789),Michael Soroka,43667789,P,8300,ARI@STL 07/23/2026 05:15PM ET,ARI,17.47
SP,Eduardo Rodriguez (43667790),Eduardo Rodriguez,43667790,P,8300,ARI@STL 07/23/2026 05:15PM ET,ARI,15.26
RP,Framber Valdez (43667791),Framber Valdez,43667791,P,8200,KC@DET 07/23/2026 06:40PM ET,DET,11.72
RP,Drew Anderson (43667792),Drew Anderson,43667792,P,8200,KC@DET 07/23/2026 06:40PM ET,DET,5.18
SP,Keider Montero (43667793),Keider Montero,43667793,P,8200,KC@DET 07/23/2026 06:40PM ET,DET,13.00
SP,Cole Ragans (43667794),Cole Ragans,43667794,P,8000,KC@DET 07/23/2026 06:40PM ET,KC,13.19
SP,Kris Bubic (43667795),Kris Bubic,43667795,P,8000,KC@DET 07/23/2026 06:40PM ET,KC,15.94
SP,Michael Wacha (43667796),Michael Wacha,43667796,P,8000,KC@DET 07/23/2026 06:40PM ET,KC,15.54
SP,Jack Flaherty (43667797),Jack Flaherty,43667797,P,7700,KC@DET 07/23/2026 06:40PM ET,DET,12.89
SP,Michael McGreevy (43667690),Michael McGreevy,43667690,P,7500,ARI@STL 07/23/2026 05:15PM ET,STL,13.66
SP,Dustin May (43667798),Dustin May,43667798,P,7500,ARI@STL 07/23/2026 05:15PM ET,STL,13.18
RP,Andre Pallante (43667799),Andre Pallante,43667799,P,7500,ARI@STL 07/23/2026 05:15PM ET,STL,13
SP,Brandon Pfaadt (43667691),Brandon Pfaadt,43667691,P,7300,ARI@STL 07/23/2026 05:15PM ET,ARI,7.30
SP,Reese Olson (43667800),Reese Olson,43667800,P,7200,KC@DET 07/23/2026 06:40PM ET,DET,0
SP,Yilber Diaz (43667801),Yilber Diaz,43667801,P,7200,KC@DET 07/23/2026 06:40PM ET,DET,-17.3
SP,Jackson Jobe (43667802),Jackson Jobe,43667802,P,7200,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Seth Lugo (43667803),Seth Lugo,43667803,P,7000,KC@DET 07/23/2026 06:40PM ET,KC,12.15
SP,Noah Cameron (43667804),Noah Cameron,43667804,P,7000,KC@DET 07/23/2026 06:40PM ET,KC,11.74
RP,Stephen Kolek (43667805),Stephen Kolek,43667805,P,7000,KC@DET 07/23/2026 06:40PM ET,KC,11.51
SP,Justin Verlander (43667806),Justin Verlander,43667806,P,6700,KC@DET 07/23/2026 06:40PM ET,DET,-4.55
RP,Matthew Liberatore (43667807),Matthew Liberatore,43667807,P,6500,ARI@STL 07/23/2026 05:15PM ET,STL,11.32
RP,Kyle Leahy (43667808),Kyle Leahy,43667808,P,6500,ARI@STL 07/23/2026 05:15PM ET,STL,12.85
SP,Hunter Dobbins (43667809),Hunter Dobbins,43667809,P,6500,ARI@STL 07/23/2026 05:15PM ET,STL,14.16
SP,Ryne Nelson (43667810),Ryne Nelson,43667810,P,6300,ARI@STL 07/23/2026 05:15PM ET,ARI,11.11
RP,Kohl Drake (43667811),Kohl Drake,43667811,P,6300,ARI@STL 07/23/2026 05:15PM ET,ARI,15.05
SP,Merrill Kelly (43667812),Merrill Kelly,43667812,P,6300,ARI@STL 07/23/2026 05:15PM ET,ARI,10.38
SP,Zac Gallen (43667813),Zac Gallen,43667813,P,6300,ARI@STL 07/23/2026 05:15PM ET,ARI,6.44
RP,Randy Dobnak (43667692),Randy Dobnak,43667692,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,8.97
SS,Bobby Witt Jr. (43667693),Bobby Witt Jr.,43667693,SS,6000,KC@DET 07/23/2026 06:40PM ET,KC,9.18
RP,Daniel Lynch IV (43667814),Daniel Lynch IV,43667814,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,3.11
RP,Luinder Avila (43667815),Luinder Avila,43667815,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,7.78
RP,Ryan Bergert (43667816),Ryan Bergert,43667816,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Mitch Spence (43667817),Mitch Spence,43667817,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,-9.27
RP,Mason Black (43667818),Mason Black,43667818,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,3.10
SP,Alec Marsh (43667819),Alec Marsh,43667819,P,6000,KC@DET 07/23/2026 06:40PM ET,KC,0
