Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Tarik Skubal (43669020),Tarik Skubal,43669020,CPT,20400,KC@DET 07/23/2026 06:40PM ET,DET,21.81
SP,Troy Melton (43668977),Troy Melton,43668977,CPT,18000,KC@DET 07/23/2026 06:40PM ET,DET,21.31
SP,Casey Mize (43669021),Casey Mize,43669021,CPT,18000,KC@DET 07/23/2026 06:40PM ET,DET,17.41
RP,Drew Anderson (43669022),Drew Anderson,43669022,CPT,17400,KC@DET 07/23/2026 06:40PM ET,DET,5.18
SP,Keider Montero (43669023),Keider Montero,43669023,CPT,17400,KC@DET 07/23/2026 06:40PM ET,DET,13.00
RP,Framber Valdez (43669024),Framber Valdez,43669024,CPT,17400,KC@DET 07/23/2026 06:40PM ET,DET,11.72
SP,Cole Ragans (43669025),Cole Ragans,43669025,CPT,17100,KC@DET 07/23/2026 06:40PM ET,KC,13.19
SP,Michael Wacha (43669026),Michael Wacha,43669026,CPT,17100,KC@DET 07/23/2026 06:40PM ET,KC,15.54
SP,Kris Bubic (43669027),Kris Bubic,43669027,CPT,17100,KC@DET 07/23/2026 06:40PM ET,KC,15.94
SP,Jack Flaherty (43669028),Jack Flaherty,43669028,CPT,16800,KC@DET 07/23/2026 06:40PM ET,DET,12.89
SP,Jackson Jobe (43669029),Jackson Jobe,43669029,CPT,16800,KC@DET 07/23/2026 06:40PM ET,DET,0
SP,Reese Olson (43669030),Reese Olson,43669030,CPT,16800,KC@DET 07/23/2026 06:40PM ET,DET,0
SP,Yilber Diaz (43669031),Yilber Diaz,43669031,CPT,16800,KC@DET 07/23/2026 06:40PM ET,DET,-17.3
RP,Stephen Kolek (43669032),Stephen Kolek,43669032,CPT,16500,KC@DET 07/23/2026 06:40PM ET,KC,11.51
RP,Seth Lugo (43669033),Seth Lugo,43669033,CPT,16500,KC@DET 07/23/2026 06:40PM ET,KC,12.15
SP,Noah Cameron (43669034),Noah Cameron,43669034,CPT,16500,KC@DET 07/23/2026 06:40PM ET,KC,11.74
