Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Chase Burns (43672777),Chase Burns,43672777,P,11200,CIN@STL 07/24/2026 08:15PM ET,CIN,21.5,,
SP,Chris Sale (43672778),Chris Sale,43672778,P,11000,ATL@BAL 07/24/2026 07:05PM ET,ATL,22.7,,
SP,Dylan Cease (43672779),Dylan Cease,43672779,P,10800,TOR@BOS 07/24/2026 07:15PM ET,TOR,24.1,,
SP,Tyler Glasnow (43672780),Tyler Glasnow,43672780,P,10300,LAD@NYM 07/24/2026 07:10PM ET,LAD,22.2,IL,
SP,Bryce Miller (43672266),Bryce Miller,43672266,P,10000,SEA@TEX 07/24/2026 08:05PM ET,SEA,21.3,,SP
SP,Logan Gilbert (43672781),Logan Gilbert,43672781,P,10000,SEA@TEX 07/24/2026 08:05PM ET,SEA,19.8,,
SP,Yoshinobu Yamamoto (43672782),Yoshinobu Yamamoto,43672782,P,9800,LAD@NYM 07/24/2026 07:10PM ET,LAD,22.2,,
SP,Jacob deGrom (43672783),Jacob deGrom,43672783,P,9800,SEA@TEX 07/24/2026 08:05PM ET,TEX,19.3,,
SP,Joe Ryan (43672784),Joe Ryan,43672784,P,9800,ATH@MIN 07/24/2026 08:10PM ET,MIN,17.4,,
SP,Logan Webb (43672267),Logan Webb,43672267,P,9700,LAA@SF 07/24/2026 10:15PM ET,SF,15.5,,SP
SP,Parker Messick (43672785),Parker Messick,43672785,P,9500,CLE@TB 07/24/2026 07:10PM ET,CLE,19.2,,
SP,Gavin Williams (43672786),Gavin Williams,43672786,P,9500,CLE@TB 07/24/2026 07:10PM ET,CLE,21.2,,
SP,Kevin Gausman (43672787),Kevin Gausman,43672787,P,9300,TOR@BOS 07/24/2026 07:15PM ET,TOR,14.4,,
SP,Nick Pivetta (43672788),Nick Pivetta,43672788,P,9300,SD@MIA 07/24/2026 07:10PM ET,SD,15.3,IL,
SP,Nathan Eovaldi (43672789),Nathan Eovaldi,43672789,P,9300,SEA@TEX 07/24/2026 08:05PM ET,TEX,18.1,,
