Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Tyler Glasnow (43677232),Tyler Glasnow,43677232,CPT,19500,LAD@NYM 07/24/2026 07:10PM ET,LAD,22.21
SP,Yoshinobu Yamamoto (43677233),Yoshinobu Yamamoto,43677233,CPT,19200,LAD@NYM 07/24/2026 07:10PM ET,LAD,22.16
SP,Justin Wrobleski (43677234),Justin Wrobleski,43677234,CPT,18600,LAD@NYM 07/24/2026 07:10PM ET,LAD,18.55
SP,Blake Snell (43677235),Blake Snell,43677235,CPT,18600,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.95
SP,Zac Thornton (43677236),Zac Thornton,43677236,CPT,18000,LAD@NYM 07/24/2026 07:10PM ET,NYM,17.12
SP,Nolan McLean (43677237),Nolan McLean,43677237,CPT,18000,LAD@NYM 07/24/2026 07:10PM ET,NYM,19.34
RP,Clay Holmes (43677238),Clay Holmes,43677238,CPT,18000,LAD@NYM 07/24/2026 07:10PM ET,NYM,17.9
SP,Christian Scott (43677239),Christian Scott,43677239,CPT,17100,LAD@NYM 07/24/2026 07:10PM ET,NYM,15.39
SP,Freddy Peralta (43677240),Freddy Peralta,43677240,CPT,17100,LAD@NYM 07/24/2026 07:10PM ET,NYM,12.87
SP,Tylor Megill (43677241),Tylor Megill,43677241,CPT,17100,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
SP,Roki Sasaki (43677191),Roki Sasaki,43677191,CPT,16800,LAD@NYM 07/24/2026 07:10PM ET,LAD,12.26
SP,Emmet Sheehan (43677242),Emmet Sheehan,43677242,CPT,16800,LAD@NYM 07/24/2026 07:10PM ET,LAD,13.39
1B/OF,Shohei Ohtani (43677193),Shohei Ohtani,43677193,CPT,15900,LAD@NYM 07/24/2026 07:10PM ET,LAD,9.39
SP,Sean Manaea (43677192),Sean Manaea,43677192,CPT,15600,LAD@NYM 07/24/2026 07:10PM ET,NYM,8.97
RP,Eric Lauer (43677243),Eric Lauer,43677243,CPT,15300,LAD@NYM 07/24/2026 07:10PM ET,LAD,9.84
SP,Landon Knack (43677244),Landon Knack,43677244,CPT,15300,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.92
SP,River Ryan (43677245),River Ryan,43677245,CPT,15300,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
SP,Bobby Miller (43677246),Bobby Miller,43677246,CPT,15300,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Chayce McDermott (43677247),Chayce McDermott,43677247,CPT,15300,LAD@NYM 07/24/2026 07:10PM ET,LAD,0.72
SP,Gavin Stone (43677248),Gavin Stone,43677248,CPT,15300,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Justin Hagenman (43677249),Justin Hagenman,43677249,CPT,15000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
SP,Tobias Myers (43677250),Tobias Myers,43677250,CPT,15000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.58
SP,Kodai Senga (43677251),Kodai Senga,43677251,CPT,15000,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.28
RP,Xzavion Curry (43677252),Xzavion Curry,43677252,CPT,15000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.32
SP,Jonah Tong (43677253),Jonah Tong,43677253,CPT,15000,LAD@NYM 07/24/2026 07:10PM ET,NYM,7.83
OF,Juan Soto (43677194),Juan Soto,43677194,CPT,14400,LAD@NYM 07/24/2026 07:10PM ET,NYM,9.34
1B,Freddie Freeman (43677195),Freddie Freeman,43677195,CPT,13500,LAD@NYM 07/24/2026 07:10PM ET,LAD,8.23
SP,Tyler Glasnow (43677131),Tyler Glasnow,43677131,UTIL,13000,LAD@NYM 07/24/2026 07:10PM ET,LAD,22.21
3B,Max Muncy (43677196),Max Muncy,43677196,CPT,12900,LAD@NYM 07/24/2026 07:10PM ET,LAD,7.68
