Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5203855846,RobbCobb,0,112.25,1B Ty France 2B Christian Koss 3B Max Muncy C Daniel Susac OF Heliot Ramos OF Andy Pages OF Ceddanne Rafaela P Sonny Gray P Robbie Ray SS Willy Adames,,Roki Sasaki,P,60.87%,21.2
2,5203841588,bjonesiv,0,112.1,1B Bryce Eldridge 2B Luis Arraez 3B Max Muncy C Daniel Susac OF Jung Hoo Lee OF Heliot Ramos OF Andy Pages P Robbie Ray P Roki Sasaki SS Mookie Betts,,Sonny Gray,P,43.48%,16.35
3,5203849267,jacksonboy42,0,108.1,1B Freddie Freeman 2B Anthony Seigler 3B Max Muncy C Jonah Heim OF Teoscar Hernandez OF Masataka Yoshida OF Jung Hoo Lee P Robbie Ray P Roki Sasaki SS Mookie Betts,,Fernando Tatis Jr.,OF,43.48%,3
4,5203853730,Baca369,0,103.55,1B Ty France 2B Cole Young 3B Manny Machado C Dalton Rushing OF Tommy Edman OF Wilyer Abreu OF Andy Pages P Sonny Gray P Roki Sasaki SS Xander Bogaerts,,Willy Adames,SS,39.13%,10
5,5203828119,HypeBigelow,0,102.05,1B Willson Contreras 2B Tommy Edman 3B Caleb Durbin C Jonah Heim OF Wilyer Abreu OF Ceddanne Rafaela OF Jarren Duran P JP Sears P Roki Sasaki SS Mookie Betts,,Tommy Edman,2B,39.13%,4
6,5203822999,patricklivings,0,100.55,1B Ty France 2B Tommy Edman 3B Manny Machado C Daniel Susac OF Luis Rengifo OF Fernando Tatis Jr. OF Wilyer Abreu P Sonny Gray P Roki Sasaki SS Willy Adames,,JP Sears,P,34.78%,0.85
7,5203838230,MrPointman,0,96.4,1B Ty France 2B Tommy Edman 3B Luis Rengifo C Jonah Heim OF Randy Arozarena OF Fernando Tatis Jr. OF Jung Hoo Lee P Sonny Gray P Bryan Woo SS Willy Adames,,Wilyer Abreu,OF,34.78%,14
8,5203829082,Timmer21774,0,96.25,1B Willson Contreras 2B Luis Arraez 3B Caleb Durbin C Cal Raleigh OF Kike Hernandez OF Randy Arozarena OF Julio Rodriguez P Sonny Gray P Robbie Ray SS Willy Adames,,Bryan Woo,P,34.78%,13.05
9,5203834627,Mason7488,0,92.55,1B Willson Contreras 2B Anthony Seigler 3B Max Muncy C Connor Wong OF Fernando Tatis Jr. OF Wilyer Abreu OF Jase Bowen P Sonny Gray P Roki Sasaki SS Mookie Betts,,Max Muncy,3B,30.43%,0
10,5203818632,h2oboy,0,92.1,1B Freddie Freeman 2B Tommy Edman 3B Max Muncy C Connor Wong OF Wilyer Abreu OF Ceddanne Rafaela OF Jarren Duran P Robbie Ray P Roki Sasaki SS Andruw Monasterio,,Manny Machado,3B,30.43%,0
