"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"MLB","Classic",5255955286,"MLB Satellite to $20 NFL Fantasy Football Millionaire (1/2)",195656131,"2026-09-14 19:07:00",4,153.85,"$0.00","$0.00",95,"$0.25","$20.00",1
"MLB","Classic",5255965211,"MLB Satellite to $20 NFL Fantasy Football Millionaire (2/2)",195656131,"2026-09-14 19:07:00",17,131.65,"$0.00","$0.00",95,"$0.25","$20.00",1
"MLB","Classic",5255958264,"MLB Satellite to $20 NFL Fantasy Football Millionaire (1/7)",195656135,"2026-09-14 19:07:00",55,131.65,"$0.00","$0.00",237,"$0.10","$20.00",1
"MLB","Classic",5255958267,"MLB Satellite to $20 NFL Fantasy Football Millionaire (4/7)",195656135,"2026-09-14 19:07:00",88,120.9,"$0.00","$0.00",237,"$0.10","$20.00",1
"MLB","Classic",5255958265,"MLB Satellite to $20 NFL Fantasy Football Millionaire (2/7)",195656135,"2026-09-14 19:07:00",105,116.8,"$0.00","$0.00",237,"$0.10","$20.00",1
"MLB","Classic",5255968186,"MLB Satellite to $20 NFL Fantasy Football Millionaire (7/7)",195656135,"2026-09-14 19:07:00",142,106.8,"$0.00","$0.00",237,"$0.10","$20.00",1
"MLB","Classic",5255958266,"MLB Satellite to $20 NFL Fantasy Football Millionaire (3/7)",195656135,"2026-09-14 19:07:00",165,100.35,"$0.00","$0.00",237,"$0.10","$20.00",1
"MLB","Classic",5255958268,"MLB Satellite to $20 NFL Fantasy Football Millionaire (5/7)",195656135,"2026-09-14 19:07:00",189,90.55,"$0.00","$0.00",237,"$0.10","$20.00",1
"MLB","Classic",5255958269,"MLB Satellite to $20 NFL Fantasy Football Millionaire (6/7)",195656135,"2026-09-14 19:07:00",196,87.8,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5256004824,"NFL Showdown Satellite to NHL 9-29 $15 Opening Night Puck Drop (DEN @ KC) (2/2)",195665148,"2026-09-14 20:15:00",62,50.61,"$0.00","$0.00",71,"$0.25","$15.00",1
"NFL","Showdown Captain Mode",5255999045,"NFL Showdown Satellite to NHL 9-29 $15 Opening Night Puck Drop (DEN @ KC) (1/2)",195665148,"2026-09-14 20:15:00",69,44.05,"$0.00","$0.00",71,"$0.25","$15.00",1
"NFL","Showdown Captain Mode",5256008812,"NFL Showdown Satellite to $20 NFL Fantasy Football Millionaire (DEN @ KC) (5/7)",195663904,"2026-09-14 20:15:00",102,72.75,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5256008811,"NFL Showdown Satellite to $20 NFL Fantasy Football Millionaire (DEN @ KC) (4/7)",195663904,"2026-09-14 20:15:00",165,57.3,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5256008814,"NFL Showdown Satellite to $20 NFL Fantasy Football Millionaire (DEN @ KC) (7/7)",195663904,"2026-09-14 20:15:00",206,47.1,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5256008810,"NFL Showdown Satellite to $20 NFL Fantasy Football Millionaire (DEN @ KC) (3/7)",195663904,"2026-09-14 20:15:00",207,46.8,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5255991670,"NFL Showdown Satellite to $20 NFL Fantasy Football Millionaire (DEN @ KC) (1/7)",195663904,"2026-09-14 20:15:00",210,46.1,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5256008813,"NFL Showdown Satellite to $20 NFL Fantasy Football Millionaire (DEN @ KC) (6/7)",195663904,"2026-09-14 20:15:00",214,45.05,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5256008809,"NFL Showdown Satellite to $20 NFL Fantasy Football Millionaire (DEN @ KC) (2/7)",195663904,"2026-09-14 20:15:00",223,39.29,"$0.00","$0.00",237,"$0.10","$20.00",1
