#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Jacob Misiorowski,MIL,9,4,0,17,17,104.0,13.50,2.34,0.61,.235,81.8%,46.1%,9.9%,100.4,1.47,2.09,1.97,2.13,4.3
2,Cristopher Sánchez,PHI,10,3,0,18,18,117.0,10.46,1.77,0.62,.314,83.2%,58.5%,9.6%,,2.00,2.91,2.32,2.50,4.3
3,Dylan Cease,TOR,5,4,0,16,16,90.1,13.65,4.08,0.50,.326,76.7%,44.0%,7.8%,97.8,2.79,2.88,2.26,2.61,3.3
4,Cam Schlittler,NYY,8,5,0,18,18,104.0,10.64,1.82,0.87,.268,80.9%,41.6%,9.4%,97.8,2.08,3.15,2.69,2.98,3.2
5,Joe Ryan,MIN,6,5,0,19,19,104.1,10.52,1.98,0.86,.288,70.0%,37.1%,7.9%,93.8,3.36,3.08,2.82,3.42,3.1
6,Ranger Suarez,BOS,4,3,0,17,17,91.1,9.56,2.56,0.49,.305,73.3%,40.4%,6.0%,91.8,3.15,3.29,2.62,3.29,3.0
7,Shohei Ohtani,LAD,8,2,0,14,14,85.2,9.98,2.73,0.42,.244,81.1%,51.2%,5.7%,98.1,1.79,2.69,2.62,3.25,3.0
8,Reid Detmers,LAA,3,6,0,18,18,104.2,10.06,2.92,0.77,.272,64.2%,35.8%,7.3%,94.3,4.13,3.18,3.08,3.76,2.9
9,Jesús Luzardo,PHI,7,4,0,18,18,103.1,10.89,2.87,0.78,.337,70.7%,49.8%,11.5%,97.3,3.75,3.06,2.96,2.97,2.9
10,Parker Messick,CLE,7,5,0,18,18,106.0,9.25,2.72,0.76,.272,78.3%,43.3%,8.9%,93.8,2.80,3.21,3.09,3.43,2.9
11,Braxton Ashcraft,PIT,9,3,0,18,18,108.1,10.14,2.08,1.00,.299,75.8%,44.7%,11.5%,97.2,3.24,3.16,3.16,3.17,2.9
12,Chase Burns,CIN,10,1,0,17,17,97.2,10.69,2.86,1.11,.268,89.6%,36.7%,11.3%,97.9,2.40,3.02,3.28,3.33,2.9
13,Bryan Woo,SEA,7,6,0,17,17,99.1,8.79,1.72,0.82,.273,61.7%,36.6%,7.1%,95.9,4.17,3.34,3.00,3.76,2.7
14,Paul Skenes,PIT,6,8,0,18,18,97.0,11.04,2.04,1.02,.275,65.8%,40.7%,10.8%,97.0,3.62,2.76,3.03,3.15,2.7
15,Davis Martin,CHW,9,3,0,17,17,96.1,8.41,2.71,0.56,.321,78.9%,43.5%,6.7%,94.1,3.08,4.04,3.08,3.67,2.7
16,Yoshinobu Yamamoto,LAD,9,5,0,16,16,104.2,8.60,1.81,0.95,.228,81.7%,48.9%,12.1%,96.0,2.49,3.33,3.25,3.21,2.7
17,Chris Sale,ATL,9,6,0,16,16,95.0,10.61,2.27,0.76,.310,82.9%,46.1%,9.9%,96.1,2.27,3.45,2.89,3.09,2.6
18,Drew Rasmussen,TBR,7,4,0,17,17,97.0,8.91,1.58,1.02,.237,78.3%,46.1%,12.0%,96.1,2.78,3.17,3.29,3.25,2.4
19,Max Meyer,MIA,9,1,0,18,18,103.0,9.79,3.15,0.87,.261,80.4%,42.3%,9.8%,95.1,2.53,3.75,3.45,3.69,2.3
20,Casey Mize,DET,4,5,0,13,13,71.2,9.04,2.01,0.63,.263,78.1%,33.7%,5.7%,93.9,2.64,3.00,2.72,3.68,2.3
21,Kyle Harrison,MIL,8,1,0,16,16,79.2,11.18,2.26,1.02,.297,84.0%,36.9%,11.3%,95.0,2.82,2.99,3.00,3.05,2.2
22,Logan Gilbert,SEA,7,5,0,18,18,107.1,9.56,1.84,1.17,.250,78.9%,35.1%,11.3%,95.9,3.19,3.61,3.44,3.49,2.2
23,Louis Varland,TOR,3,3,18,42,0,47.0,12.45,2.49,0.19,.304,80.3%,57.3%,3.7%,98.7,0.96,1.98,1.45,2.05,2.2
24,Sandy Alcantara,MIA,10,4,0,19,19,123.2,6.70,2.40,0.87,.295,70.2%,45.0%,9.1%,97.6,4.00,3.77,3.85,4.21,2.2
25,Michael Soroka,ARI,8,3,0,15,15,82.0,8.67,1.87,0.66,.292,77.1%,38.3%,6.8%,93.7,3.07,3.97,2.94,3.62,2.1
26,Justin Wrobleski,LAD,10,2,0,15,14,93.1,6.17,1.74,0.77,.244,79.0%,40.4%,6.8%,94.4,2.80,4.27,3.50,4.30,2.1
27,Jacob deGrom,TEX,7,5,0,17,17,95.2,10.82,1.88,1.51,.258,79.9%,34.2%,14.5%,97.4,3.48,3.43,3.51,3.08,2.1
28,MacKenzie Gore,TEX,5,7,0,18,18,96.0,9.75,3.66,0.84,.291,70.0%,37.3%,8.3%,95.6,4.31,3.86,3.44,3.93,2.1
29,George Kirby,SEA,7,7,0,17,17,104.0,7.88,2.08,0.87,.338,72.8%,49.0%,9.5%,96.8,3.81,3.72,3.36,3.64,2.1
30,Ben Brown,CHC,4,2,1,20,8,68.0,8.60,2.51,0.26,.243,79.1%,44.6%,3.3%,96.4,1.85,3.20,2.51,3.49,2.0
31,Zack Wheeler,PHI,8,1,0,13,13,80.0,9.45,2.25,1.01,.238,87.0%,46.5%,13.0%,95.4,2.36,2.95,3.30,3.14,2.0
32,Nolan McLean,NYM,6,5,0,18,18,101.1,10.48,3.29,0.89,.269,68.5%,47.4%,12.7%,96.3,3.73,3.40,3.51,3.42,2.0
33,Cade Cavalli,WSN,5,4,0,19,19,92.2,10.20,3.01,0.78,.348,70.7%,48.5%,9.5%,96.8,3.88,4.14,3.36,3.61,2.0
