Game_Date,Away_Team,Home_Team,Venue,Roof_Type,CF_Azimuth_Degrees,Default_Wind_Direction,Latitude,Longitude,Timezone,Weather_Required,Wind_Sensitivity,Wind_Min_Speed_MPH,Roof_Status_Source,Projection_F5_Status,Run_Factor_Applied,HR_Factor_Applied,F5_Approval_Note,Last_Verified,Notes,Source_URL
2026-04-25,SD,ARI,Estadio Alfredo Harp Helú,outdoor,,cross,19.4049,-99.0858,America/Mexico_City,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Neutral-site Mexico City Series; do not reuse Chase Field factors.,https://www.reuters.com/sports/baseball/d-backs-stage-massive-rally-get-past-padres-mexico-city-series--flm-2026-04-26/
2026-04-26,SD,ARI,Estadio Alfredo Harp Helú,outdoor,,cross,19.4049,-99.0858,America/Mexico_City,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Neutral-site Mexico City Series; do not reuse Chase Field factors.,https://www.reuters.com/sports/baseball/d-backs-stage-massive-rally-get-past-padres-mexico-city-series--flm-2026-04-26/
2026-06-08,MIL,ATH,Las Vegas Ballpark,outdoor,,cross,36.1523,-115.3294,America/Los_Angeles,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Alternate Athletics home venue; do not reuse Sutter Health Park factors.,https://www.sfgate.com/athletics/article/as-baseball-problem-las-vegas-22291337.php
2026-06-09,MIL,ATH,Las Vegas Ballpark,outdoor,,cross,36.1523,-115.3294,America/Los_Angeles,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Alternate Athletics home venue; do not reuse Sutter Health Park factors.,https://www.sfgate.com/athletics/article/as-baseball-problem-las-vegas-22291337.php
2026-06-10,MIL,ATH,Las Vegas Ballpark,outdoor,,cross,36.1523,-115.3294,America/Los_Angeles,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Alternate Athletics home venue; do not reuse Sutter Health Park factors.,https://www.sfgate.com/athletics/article/as-baseball-problem-las-vegas-22291337.php
2026-06-12,COL,ATH,Las Vegas Ballpark,outdoor,,cross,36.1523,-115.3294,America/Los_Angeles,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Alternate Athletics home venue; do not reuse Sutter Health Park factors.,https://www.sfgate.com/athletics/article/as-baseball-problem-las-vegas-22291337.php
2026-06-13,COL,ATH,Las Vegas Ballpark,outdoor,,cross,36.1523,-115.3294,America/Los_Angeles,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Alternate Athletics home venue; do not reuse Sutter Health Park factors.,https://www.sfgate.com/athletics/article/as-baseball-problem-las-vegas-22291337.php
2026-06-14,COL,ATH,Las Vegas Ballpark,outdoor,,cross,36.1523,-115.3294,America/Los_Angeles,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Alternate Athletics home venue; do not reuse Sutter Health Park factors.,https://www.sfgate.com/athletics/article/as-baseball-problem-las-vegas-22291337.php
2026-08-13,PHI,MIN,Field of Dreams,outdoor,,cross,42.4970,-91.0546,America/Chicago,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Neutral-site Field of Dreams game; do not reuse Target Field factors.,https://en.wikipedia.org/wiki/MLB_at_Field_of_Dreams
2026-08-23,ATL,MIL,Journey Bank Ballpark at Historic Bowman Field,outdoor,,cross,41.2417,-77.0470,America/New_York,true,moderate,13,open_air_special_event,manual_required,,,,2026-06-06,Neutral-site Little League Classic; do not reuse American Family Field factors.,https://www.batterypower.com/atlanta-braves-news/123062/2026-little-league-classic-atlanta-braves-milwaukee-brewers-espn-sunday-night
