Home_Team,Venue,Roof_Type,CF_Azimuth_Degrees,Default_Wind_Direction,Latitude,Longitude,Timezone,Weather_Required,Wind_Sensitivity,Wind_Min_Speed_MPH,Roof_Status_Source,Last_Verified
ARI,Chase Field,retractable,25,cross,33.4455,-112.0667,America/Phoenix,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
ATL,Truist Park,outdoor,155,cross,33.8907,-84.4677,America/New_York,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
BAL,Oriole Park at Camden Yards,outdoor,50,cross,39.284,-76.6217,America/New_York,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
BOS,Fenway Park,outdoor,45,cross,42.3467,-71.0972,America/New_York,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
CHC,Wrigley Field,outdoor,43,cross,41.9484,-87.6553,America/Chicago,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
CWS,Rate Field,outdoor,25,cross,41.83,-87.6338,America/Chicago,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
CIN,Great American Ball Park,outdoor,47,cross,39.0979,-84.5082,America/New_York,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
CLE,Progressive Field,outdoor,5,cross,41.4962,-81.6852,America/New_York,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
COL,Coors Field,outdoor,20,cross,39.7559,-104.9942,America/Denver,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
DET,Comerica Park,outdoor,150,cross,42.339,-83.0485,America/Detroit,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
HOU,Daikin Park,retractable,28,cross,29.7573,-95.3555,America/Chicago,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
KC,Kauffman Stadium,outdoor,47,cross,39.0517,-94.4803,America/Chicago,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
LAA,Angel Stadium,outdoor,42,cross,33.8003,-117.8827,America/Los_Angeles,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
LAD,Dodger Stadium,outdoor,35,cross,34.0739,-118.24,America/Los_Angeles,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
MIA,loanDepot park,retractable,85,cross,25.7781,-80.2197,America/New_York,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
MIL,American Family Field,retractable,78,cross,43.028,-87.9712,America/Chicago,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
MIN,Target Field,outdoor,66,cross,44.9817,-93.2776,America/Chicago,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
NYM,Citi Field,outdoor,73,cross,40.7571,-73.8458,America/New_York,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
NYY,Yankee Stadium,outdoor,76,cross,40.8296,-73.9262,America/New_York,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
ATH,Sutter Health Park,temporary,55,cross,38.5803,-121.5133,America/Los_Angeles,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
PHI,Citizens Bank Park,outdoor,35,cross,39.9061,-75.1665,America/New_York,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
PIT,PNC Park,outdoor,140,cross,40.4469,-80.0057,America/New_York,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
SD,Petco Park,outdoor,38,cross,32.7073,-117.1573,America/Los_Angeles,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
SEA,T-Mobile Park,retractable,15,cross,47.5914,-122.3325,America/Los_Angeles,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
SF,Oracle Park,outdoor,84,cross,37.7786,-122.3893,America/Los_Angeles,true,high,8,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
STL,Busch Stadium,outdoor,82,cross,38.6226,-90.1928,America/Chicago,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
TB,Tropicana Field,dome,,roof,27.7682,-82.6534,America/New_York,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
TEX,Globe Life Field,retractable,42,cross,32.7473,-97.0842,America/Chicago,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
TOR,Rogers Centre,retractable,0,cross,43.6414,-79.3894,America/Toronto,false,none,999,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
WSH,Nationals Park,outdoor,41,cross,38.873,-77.0074,America/New_York,true,moderate,13,venue_roof_default; verify open/closed only if roof_type=retractable,2026-05-26
